Date; Amount ;Category;Subcategory;Description
01.06.2014;-150,00р. ;Сотовый;Мой;
01.06.2014;-650,00р. ;Вещи;Одежда;
01.06.2014;-1 100,00р. ;Прочее;Прочее;
01.06.2014;-182,00р. ;Еда;Магазин;
02.06.2014;-40,00р. ;Еда;Перекус;
02.06.2014;-285,00р. ;Еда;Обед;
02.06.2014;-168,00р. ;Еда;Перекус;
02.06.2014;-63,00р. ;Вещи;Техника;ft232rl
02.06.2014;-377,00р. ;Вещи;Техника;ebay thermo
02.06.2014;-1 150,00р. ;Авто;Бензин;
02.06.2014;-291,00р. ;Еда;Магазин;
02.06.2014;-60,00р. ;Проезд;Городской;
02.06.2014;-300,00р. ;Сотовый;Другой;
03.06.2014;-3 967,00р. ;Вещи;Техника;ибей паяльник
03.06.2014;-293,00р. ;Еда;Обед;
03.06.2014; -471.5 ;Еда;Магазин;
04.06.2014;-275,00р. ;Еда;Обед;
04.06.2014;-228,00р. ;Еда;Перекус;
04.06.2014; -645.00 ;Еда;Магазин;
05.06.2014;-282,00р. ;Еда;Обед;
05.06.2014;-32 000,00р. ;Квартплата;Другое;
05.06.2014; -212.5 ;Еда;Магазин;
06.06.2014; 80 060,00р. ;Income;Зарплата;
06.06.2014;-333,00р. ;Еда;Обед;
06.06.2014;-300,00р. ;Сотовый;Мой;
06.06.2014;-1 000,00р. ;Авто;Бензин;
06.06.2014;-1 000,00р. ;Прочее;Прочее;салон красоты
06.06.2014;-244,00р. ;Еда;Магазин;
06.06.2014;-250,00р. ;Еда;Магазин;
06.06.2014;-300,00р. ;Сотовый;Другой;
07.06.2014;-603,00р. ;Еда;Магазин;
07.06.2014; -644.00 ;Еда;Магазин;
07.06.2014;-550,00р. ;Прочее;Прочее;
07.06.2014;-2 710,00р. ;Вещи;Техника;магнитола
07.06.2014;-298,00р. ;Вещи;Одежда;носки
07.06.2014;-2 000,00р. ;Прочее;Прочее;семинар по йоге
08.06.2014;-130,00р. ;Еда;Магазин;
08.06.2014; -634.00 ;Еда;Магазин;
09.06.2014;-30,00р. ;Еда;Перекус;
09.06.2014;-344,00р. ;Еда;Обед;
09.06.2014;-122,00р. ;Еда;Перекус;
09.06.2014;-500,00р. ;Квартплата;Другое;интернет
09.06.2014;-470,00р. ;Прочее;Прочее;сервер
09.06.2014;-710,00р. ;Еда;Магазин;
09.06.2014;-850,00р. ;Лекарства;Аптека;
10.06.2014;-1 000,00р. ;Авто;Бензин;
10.06.2014;-277,00р. ;Еда;Обед;
10.06.2014;-150,00р. ;Посиделки;Другое;
10.06.2014;-1 120,00р. ;Еда;Магазин;
11.06.2014;-73,00р. ;Вещи;Техника;плата смд
11.06.2014;-132,00р. ;Вещи;Техника;моторчики
11.06.2014;-285,00р. ;Еда;Обед;
11.06.2014;-64,00р. ;Еда;Перекус;
11.06.2014;-560,00р. ;Еда;Магазин;
11.06.2014;-183,00р. ;Еда;Магазин;
12.06.2014;-909,00р. ;Еда;Магазин;
12.06.2014;-3 350,00р. ;Ребёнок;Вещи;
12.06.2014;-1 680,00р. ;Прочее;Прочее;хостинг
13.06.2014;-418,00р. ;Еда;Магазин;
13.06.2014;-104,00р. ;Лекарства;Аптека;
13.06.2014;-380,00р. ;Еда;Магазин;
13.06.2014;-373,00р. ;Еда;Магазин;
14.06.2014;-500,00р. ;Еда;Магазин;
14.06.2014; -210.00 ;Вещи;Техника;коробки
15.06.2014;-1 600,00р. ;Еда;Магазин;
15.06.2014;-300,00р. ;Сотовый;Другой;
16.06.2014;-1 000,00р. ;Авто;Бензин;
16.06.2014;-120,00р. ;Еда;Магазин;
16.06.2014;-132,00р. ;Еда;Магазин;
16.06.2014;-85,00р. ;Еда;Магазин;
16.06.2014; -128.00 ;Еда;Магазин;
17.06.2014;-310,00р. ;Лекарства;Аптека;
17.06.2014; 40 000,00р. ;Income;Зарплата;
17.06.2014; -1992.00 ;Еда;Магазин;
17.06.2014;-745,00р. ;Еда;Магазин;
18.06.2014;-667,00р. ;Еда;Магазин;
20.06.2014;-1 834,00р. ;Еда;Магазин;
20.06.2014;-4 919,00р. ;Лекарства;Аптека;линзы
21.06.2014;-509,00р. ;Еда;Магазин;
22.06.2014;-300,00р. ;Сотовый;Мой;
22.06.2014; -130.5 ;Лекарства;Аптека;
22.06.2014;-173,00р. ;Еда;Магазин;
22.06.2014;-2 500,00р. ;Прочее;Прочее;салон красоты
23.06.2014;-1 000,00р. ;Авто;Бензин;
23.06.2014;-223,00р. ;Еда;Магазин;
23.06.2014;-400,00р. ;Лекарства;Аптека;
24.06.2014;-818,00р. ;Лекарства;Аптека;
25.06.2014;-6 670,00р. ;Вещи;Одежда;
25.06.2014;-388,00р. ;Еда;Магазин;
25.06.2014;-443,00р. ;Еда;Магазин;
25.06.2014; -597.00 ;Еда;Магазин;
26.06.2014;-508,00р. ;Еда;Магазин;
27.06.2014;-1 000,00р. ;Авто;Бензин;
27.06.2014;-442,00р. ;Еда;Магазин;
